"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","HUR","TOT","PC_LF","M","2017-12",7.5,
"SVK","HUR","TOT","PC_LF","M","2018-01",7.2,
"SVK","HUR","TOT","PC_LF","M","2018-02",7.1,
"SVK","HUR","TOT","PC_LF","M","2018-03",6.9,
"SVK","HUR","TOT","PC_LF","M","2018-04",6.8,
"SVK","HUR","TOT","PC_LF","M","2018-05",6.7,
"SVK","HUR","TOT","PC_LF","M","2018-06",6.6,
"SVK","HUR","TOT","PC_LF","M","2018-07",6.4,
"SVK","HUR","TOT","PC_LF","M","2018-08",6.3,
"SVK","HUR","TOT","PC_LF","M","2018-09",6.2,
"SVK","HUR","TOT","PC_LF","M","2018-10",6.1,
"SVK","HUR","TOT","PC_LF","M","2018-11",6.1,
"SVK","HUR","TOT","PC_LF","M","2018-12",5.9,
"SVK","HUR","TOT","PC_LF","M","2019-01",5.9,
"SVK","HUR","TOT","PC_LF","M","2019-02",5.8,
"SVK","HUR","TOT","PC_LF","M","2019-03",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-04",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-05",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-06",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-07",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-08",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-09",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-10",5.6,
"SVK","HUR","TOT","PC_LF","M","2019-11",5.7,
"SVK","HUR","TOT","PC_LF","M","2019-12",5.7,
"SVK","HUR","TOT","PC_LF","M","2020-01",6,
"SVK","HUR","TOT","PC_LF","M","2020-02",6,
"SVK","HUR","TOT","PC_LF","M","2020-03",6,
"SVK","HUR","TOT","PC_LF","M","2020-04",6.5,
"SVK","HUR","TOT","PC_LF","M","2020-05",6.6,
"SVK","HUR","TOT","PC_LF","M","2020-06",6.7,
"SVK","HUR","TOT","PC_LF","M","2020-07",7,
"SVK","HUR","TOT","PC_LF","M","2020-08",7.1,
"SVK","HUR","TOT","PC_LF","M","2020-09",7,
"SVK","HUR","TOT","PC_LF","M","2020-10",7,
"SVK","HUR","TOT","PC_LF","M","2020-11",7,
"SVK","HUR","TOT","PC_LF","M","2020-12",7,
"SVK","HUR","TOT","PC_LF","M","2021-01",7,
"SVK","HUR","TOT","PC_LF","M","2021-02",7,
"SVK","HUR","TOT","PC_LF","M","2021-03",7.1,
"SVK","HUR","TOT","PC_LF","M","2021-04",7,
"SVK","HUR","TOT","PC_LF","M","2021-05",7,
"SVK","HUR","TOT","PC_LF","M","2021-06",6.9,
"SVK","HUR","TOT","PC_LF","M","2021-07",6.8,
"SVK","HUR","TOT","PC_LF","M","2021-08",6.8,
"SVK","HUR","TOT","PC_LF","M","2021-09",6.7,
"SVK","HUR","TOT","PC_LF","M","2021-10",6.6,
"SVK","HUR","TOT","PC_LF","M","2021-11",6.5,
"SVK","HUR","TOT","PC_LF","M","2021-12",6.5,
"SVK","HUR","TOT","PC_LF","M","2022-01",6.4,
"SVK","HUR","TOT","PC_LF","M","2022-02",6.4,
"SVK","HUR","TOT","PC_LF","M","2022-03",6.3,
"SVK","HUR","TOT","PC_LF","M","2022-04",6.3,
"SVK","HUR","TOT","PC_LF","M","2022-05",6.2,
"SVK","HUR","TOT","PC_LF","M","2022-06",6.2,
"SVK","HUR","TOT","PC_LF","M","2022-07",6,
"SVK","HUR","TOT","PC_LF","M","2022-08",6,
"SVK","HUR","TOT","PC_LF","M","2022-09",6,
"SVK","HUR","TOT","PC_LF","M","2022-10",6,
"SVK","HUR","TOT","PC_LF","M","2022-11",6.1,
"SVK","HUR","TOT","PC_LF","M","2022-12",6.1,
