"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GRC","HUR","TOT","PC_LF","M","2017-12",21.2,
"GRC","HUR","TOT","PC_LF","M","2018-01",20.8,
"GRC","HUR","TOT","PC_LF","M","2018-02",21.3,
"GRC","HUR","TOT","PC_LF","M","2018-03",20.6,
"GRC","HUR","TOT","PC_LF","M","2018-04",20.1,
"GRC","HUR","TOT","PC_LF","M","2018-05",19.7,
"GRC","HUR","TOT","PC_LF","M","2018-06",19.5,
"GRC","HUR","TOT","PC_LF","M","2018-07",19.3,
"GRC","HUR","TOT","PC_LF","M","2018-08",19.4,
"GRC","HUR","TOT","PC_LF","M","2018-09",19.1,
"GRC","HUR","TOT","PC_LF","M","2018-10",19,
"GRC","HUR","TOT","PC_LF","M","2018-11",19.2,
"GRC","HUR","TOT","PC_LF","M","2018-12",19,
"GRC","HUR","TOT","PC_LF","M","2019-01",19.3,
"GRC","HUR","TOT","PC_LF","M","2019-02",19.3,
"GRC","HUR","TOT","PC_LF","M","2019-03",18.9,
"GRC","HUR","TOT","PC_LF","M","2019-04",18.2,
"GRC","HUR","TOT","PC_LF","M","2019-05",17.6,
"GRC","HUR","TOT","PC_LF","M","2019-06",17.4,
"GRC","HUR","TOT","PC_LF","M","2019-07",17.6,
"GRC","HUR","TOT","PC_LF","M","2019-08",17.4,
"GRC","HUR","TOT","PC_LF","M","2019-09",17.4,
"GRC","HUR","TOT","PC_LF","M","2019-10",17.1,
"GRC","HUR","TOT","PC_LF","M","2019-11",17,
"GRC","HUR","TOT","PC_LF","M","2019-12",17,
"GRC","HUR","TOT","PC_LF","M","2020-01",16.4,
"GRC","HUR","TOT","PC_LF","M","2020-02",16.4,
"GRC","HUR","TOT","PC_LF","M","2020-03",17.1,
"GRC","HUR","TOT","PC_LF","M","2020-04",18.2,
"GRC","HUR","TOT","PC_LF","M","2020-05",19.6,
"GRC","HUR","TOT","PC_LF","M","2020-06",20.4,
"GRC","HUR","TOT","PC_LF","M","2020-07",17.4,
"GRC","HUR","TOT","PC_LF","M","2020-08",17,
"GRC","HUR","TOT","PC_LF","M","2020-09",17,
"GRC","HUR","TOT","PC_LF","M","2020-10",17.6,
"GRC","HUR","TOT","PC_LF","M","2020-11",17.4,
"GRC","HUR","TOT","PC_LF","M","2020-12",16.8,
"GRC","HUR","TOT","PC_LF","M","2021-01",16.3,
"GRC","HUR","TOT","PC_LF","M","2021-02",15.8,
"GRC","HUR","TOT","PC_LF","M","2021-03",17.2,
"GRC","HUR","TOT","PC_LF","M","2021-04",17.2,
"GRC","HUR","TOT","PC_LF","M","2021-05",15.6,
"GRC","HUR","TOT","PC_LF","M","2021-06",15,
"GRC","HUR","TOT","PC_LF","M","2021-07",14.4,
"GRC","HUR","TOT","PC_LF","M","2021-08",13.7,
"GRC","HUR","TOT","PC_LF","M","2021-09",13.2,
"GRC","HUR","TOT","PC_LF","M","2021-10",13.4,
"GRC","HUR","TOT","PC_LF","M","2021-11",13,
"GRC","HUR","TOT","PC_LF","M","2021-12",12.9,
"GRC","HUR","TOT","PC_LF","M","2022-01",13.6,
"GRC","HUR","TOT","PC_LF","M","2022-02",13,
"GRC","HUR","TOT","PC_LF","M","2022-03",12.7,
"GRC","HUR","TOT","PC_LF","M","2022-04",12.7,
"GRC","HUR","TOT","PC_LF","M","2022-05",12.7,
"GRC","HUR","TOT","PC_LF","M","2022-06",12.5,
"GRC","HUR","TOT","PC_LF","M","2022-07",12.4,
"GRC","HUR","TOT","PC_LF","M","2022-08",12.5,
"GRC","HUR","TOT","PC_LF","M","2022-09",11.9,
"GRC","HUR","TOT","PC_LF","M","2022-10",11.7,
"GRC","HUR","TOT","PC_LF","M","2022-11",11.8,
"GRC","HUR","TOT","PC_LF","M","2022-12",11.8,
