"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","HUR","TOT","PC_LF","M","2017-12",8.1,
"LVA","HUR","TOT","PC_LF","M","2018-01",8,
"LVA","HUR","TOT","PC_LF","M","2018-02",7.8,
"LVA","HUR","TOT","PC_LF","M","2018-03",7.7,
"LVA","HUR","TOT","PC_LF","M","2018-04",7.7,
"LVA","HUR","TOT","PC_LF","M","2018-05",7.7,
"LVA","HUR","TOT","PC_LF","M","2018-06",7.5,
"LVA","HUR","TOT","PC_LF","M","2018-07",7.3,
"LVA","HUR","TOT","PC_LF","M","2018-08",7.1,
"LVA","HUR","TOT","PC_LF","M","2018-09",7,
"LVA","HUR","TOT","PC_LF","M","2018-10",7.1,
"LVA","HUR","TOT","PC_LF","M","2018-11",7,
"LVA","HUR","TOT","PC_LF","M","2018-12",6.9,
"LVA","HUR","TOT","PC_LF","M","2019-01",6.8,
"LVA","HUR","TOT","PC_LF","M","2019-02",6.6,
"LVA","HUR","TOT","PC_LF","M","2019-03",6.5,
"LVA","HUR","TOT","PC_LF","M","2019-04",6.3,
"LVA","HUR","TOT","PC_LF","M","2019-05",6.3,
"LVA","HUR","TOT","PC_LF","M","2019-06",6.3,
"LVA","HUR","TOT","PC_LF","M","2019-07",6.3,
"LVA","HUR","TOT","PC_LF","M","2019-08",6.2,
"LVA","HUR","TOT","PC_LF","M","2019-09",6,
"LVA","HUR","TOT","PC_LF","M","2019-10",5.8,
"LVA","HUR","TOT","PC_LF","M","2019-11",5.9,
"LVA","HUR","TOT","PC_LF","M","2019-12",6.5,
"LVA","HUR","TOT","PC_LF","M","2020-01",7.1,
"LVA","HUR","TOT","PC_LF","M","2020-02",7.2,
"LVA","HUR","TOT","PC_LF","M","2020-03",7.6,
"LVA","HUR","TOT","PC_LF","M","2020-04",8.3,
"LVA","HUR","TOT","PC_LF","M","2020-05",8.6,
"LVA","HUR","TOT","PC_LF","M","2020-06",8.7,
"LVA","HUR","TOT","PC_LF","M","2020-07",8.7,
"LVA","HUR","TOT","PC_LF","M","2020-08",8.6,
"LVA","HUR","TOT","PC_LF","M","2020-09",8.3,
"LVA","HUR","TOT","PC_LF","M","2020-10",8.1,
"LVA","HUR","TOT","PC_LF","M","2020-11",8,
"LVA","HUR","TOT","PC_LF","M","2020-12",7.9,
"LVA","HUR","TOT","PC_LF","M","2021-01",7.7,
"LVA","HUR","TOT","PC_LF","M","2021-02",7.7,
"LVA","HUR","TOT","PC_LF","M","2021-03",7.7,
"LVA","HUR","TOT","PC_LF","M","2021-04",7.8,
"LVA","HUR","TOT","PC_LF","M","2021-05",7.9,
"LVA","HUR","TOT","PC_LF","M","2021-06",7.9,
"LVA","HUR","TOT","PC_LF","M","2021-07",7.6,
"LVA","HUR","TOT","PC_LF","M","2021-08",7.3,
"LVA","HUR","TOT","PC_LF","M","2021-09",7.1,
"LVA","HUR","TOT","PC_LF","M","2021-10",7.1,
"LVA","HUR","TOT","PC_LF","M","2021-11",7.3,
"LVA","HUR","TOT","PC_LF","M","2021-12",7.4,
"LVA","HUR","TOT","PC_LF","M","2022-01",7.2,
"LVA","HUR","TOT","PC_LF","M","2022-02",6.9,
"LVA","HUR","TOT","PC_LF","M","2022-03",6.8,
"LVA","HUR","TOT","PC_LF","M","2022-04",6.6,
"LVA","HUR","TOT","PC_LF","M","2022-05",6.5,
"LVA","HUR","TOT","PC_LF","M","2022-06",6.6,
"LVA","HUR","TOT","PC_LF","M","2022-07",6.9,
"LVA","HUR","TOT","PC_LF","M","2022-08",7,
"LVA","HUR","TOT","PC_LF","M","2022-09",7,
"LVA","HUR","TOT","PC_LF","M","2022-10",6.9,
"LVA","HUR","TOT","PC_LF","M","2022-11",6.9,
"LVA","HUR","TOT","PC_LF","M","2022-12",6.8,
